source	title	description	url	publishedAt	content	coder 1	movie 1	topic 1	coder 2	movie 2	topic 2	Flag for checks		resolution movie	resolution topic	final movie	final topic
IndieWire	‘The Hunger Games: The Ballad of Songbirds & Snakes’ Review: The Rare Hollywood Prequel That Towers Over the Rest of Its Franchise	Hollywood's obsession with dystopian YA stories might be over, but the sub-genre's best movie just arrived.	https://www.indiewire.com/criticism/movies/hunger-games-ballad-of-songbirds-and-snakes-movie-review-1234923868/	2023-11-09T19:00:00Z	Does anyone still have an appetite for the Hunger Games? That is the question asked in and by Francis Lawrence’s “The Ballad of Songbirds &amp; Snakes,” a prequel that’s set 64 years before the first… [+13210 chars]	Tristan	HG	Plot	Michael	HG	Plot					HG	Plot
IndieWire	Ridley Scott Points Out He’s Made Four Films Since Martin Scorsese Started ‘Killers of the Flower Moon’	"I get up in the morning and say, 'Ah great! Another day of stress,'" the "Napoleon" director said.	https://www.indiewire.com/news/general-news/ridley-scott-made-four-films-scorsese-killers-of-the-flower-moon-1234928029/	2023-11-20T17:00:00Z	Ridley Scott doesn’t want to compare himself with Martin Scorsese, but he is pointing out the difference in their respective recent filmographies.  The “Napoleon” director addressed how Scorsese has… [+2019 chars]	Tristan	Napoleon, KOTFM	NR	Michael	Napoleon, KOTFM	NR					Napoleon, KOTFM	NR
Deadline	‘Hunger Games: Ballad Of Songbirds & Snakes’ Looks To Sing $100M+ Worldwide Opening – Preview	In what will be a revived week for moviegoing post actors strike heading into the Thanksgiving holiday, Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes is looking to lead a global frame with a $100M+ start. The pic is one of four big studio wid…	https://deadline.com/2023/11/hunger-games-ballad-of-songbirds-and-snakes-box-office-opening-1235612652/	2023-11-15T17:03:31Z	In what will be a revived week for moviegoing post actors strike heading into the Thanksgiving holiday, Lionsgate’sThe Hunger Games: The Ballad of Songbirds &amp; Snakes is looking to lead a global f… [+5752 chars]	Tristan	HG	Box	Michael	HG	Box					HG	Box
/FILM	Ridley Scott's Napoleon Conquered The World Over Thanksgiving (At The Box Office)	Napoleon grossed $78.8 million worldwide over the Thanksgiving holiday, ranking in first place thanks to a strong overseas performance.	https://www.slashfilm.com/1455897/napoleon-ridley-scott-worldwide-box-office-thanksgiving/	2023-11-27T20:00:41Z	Ridley Scott's latest historical tale is already off to a much better start than "The Last Duel." In fact, "Napoleon" conquered the worldwide box office over Thanksgiving, and while it came in second… [+1106 chars]	Tristan	Napoleon	Box	Michael	Napoleon	Box					Napoleon	Box
HuffPost	Martin Scorsese Hilariously Admits He’s ‘Tricked Into’ Making TikToks With Daughter Francesca	“I didn’t know those things go viral,” the iconic filmmaker said.	https://www.huffpost.com/entry/martin-scorsese-tricked-into-making-tiktoks-with-daughter-francesca_n_65564e4de4b05723e4bc3d36	2023-11-17T02:09:20Z	Martin Scorsese and his daughter Francesca Scorsese have garnered millions of views on their TikTok videos together. The internet is pretty happy that acclaimed filmmaker Martin Scorsese has branche… [+2383 chars]	Tristan	NR		Michael	NR						NR	
Variety	‘The Marvels’ Debuts Atop U.K., Ireland Box Office as ‘Tiger 3’ Roars	Disney’s “The Marvels” debuted atop the U.K. and Ireland box office with £3.4 million ($4.2 million), according to numbers released by Comscore. However, in keeping with its global bow, the opening was soft as the latest installment in the MCU scored just abo…	https://variety.com/2023/film/box-office/the-marvels-uk-ireland-box-office-tiger-3-1235790192/	2023-11-14T12:57:43Z	Disney’s “The Marvels” debuted atop the U.K. and Ireland box office with £3.4 million ($4.2 million), according to numbers released by Comscore.  However, in keeping with its global bow, the opening… [+1945 chars]	Tristan	Marvels	Box	Michael	Marvels	Box					Marvels	Box
/FILM	How Josh Hutcherson Landed Five Nights At Freddy's Biggest Role	According to director Emma Tammi, Josh Hutcherson immediately grasped what makes the Five Nights at Freddy&amp;#39;s franchise so special.	https://www.slashfilm.com/1441922/josh-hutcherson-landed-five-nights-at-freddys-biggest-role/	2023-11-13T13:45:47Z	The name Mike Schmidt is not new to those who've played the original "FNAF" games, as it has a close connection to Michael Afton (the son of William Afton), who also appears in other "FNAF"-adjacent … [+1478 chars]	Tristan	FNAF	Prod	Michael	FNAF	Promo					FNAF	Prod
IndieWire	‘Trolls Band Together’ Gets Psychedelic	The new sequel features the giant lollipop-looking Velvet (Amy Schumer) and Veneer (Andrew Rannells), and 2D animation inspired by R. Crumb and "Yellow Submarine."	https://www.indiewire.com/features/animation/trolls-band-together-animation-psychdelic-justin-timerblake-1234926790/	2023-11-17T15:30:00Z	“Trolls Band Together,” the third chapter in the DreamWorks Animation franchise, gets psychedelic with the introduction of new worlds and characters, helped along by some trippy 2D animation from Tit… [+5263 chars]	Tristan	Trolls	Plot	Michael	Trolls	Prod					Trolls	Plot
Vulture	It’s Finally Trophy Time for the MFL	‘Past Lives’ won the day at the Gotham Awards, but ‘Killers of the Flower Moon’ and ‘May December’ didn’t go without recognition. Plus, box office breakdowns for ‘Wish’ and ‘The Hunger Games: The Ballad of Songbirds & Snakes.’	http://www.vulture.com/2023/11/gotham-awards-wish-box-office-movies-fantasy-league.html	2023-11-29T15:00:14Z	This is the latest edition of the Movies Fantasy League newsletter. The drafting window for this season has closed, but you can still sign up to get the newsletter, which provides a weekly recap of b… [+6186 chars]	Tristan	KOTFM, Wish, HG	Awards	Michael	KOTFM, Wish, HG	Awards	multiple topics mentioned				KOTFM, Wish, HG	Awards
Business Insider	A career trend to bet on	The creator economy is too large to ignore. And it's not just influencers cashing in. An industry has built up to support social-media stars.	https://www.businessinsider.com/news-today-november-17-creator-economy-business-social-media-2023-11	2023-11-17T14:00:14Z	A stock image shows a social media influencer making content.Getty Images <ul> <li>This post originally appeared in the Insider Today newsletter.</li> <li>You can sign up for Insider's daily newslet… [+7785 chars]	Tristan	NR		Michael	NR						NR	
The A.V. Club	Killers Of The Flower Moon is now available to watch at home	If you were nervous about seeing a 206-minute epic with absolutely no intermissions in theaters, or you really wanted to experience Brendan Fraser and his “girth” from the comfort of your own home, today’s your lucky day. Fresh off nabbing both a Best Film wi…	https://www.avclub.com/killers-of-the-flower-moon-rent-buy-vod-1851074009	2023-12-05T16:53:00Z	If you were nervous about seeing a 206-minute epic with absolutely no intermissions in theaters, or you really wanted to experience Brendan Fraser and his girth from the comfort of your own home, tod… [+1612 chars]	Tristan	KOTFM	Streaming	Michael	KOTFM	Streaming					KOTFM	Streaming
IndieWire	Why ‘Napoleon’ and ‘Spider-Man’ Made the Oscar VFX Long List — and ‘Oppenheimer’ Did Not	Gareth Edwards' "The Creator" is now the frontrunner, with "Across the Spider-Verse" as the underdog.	https://www.indiewire.com/features/craft/why-spider-man-made-the-oscar-vfx-long-list-oppenheimer-did-not-1234933540/	2023-12-08T21:32:16Z	The Academy’s Visual Effects long-list of 20 finalists were notified Thursday (first reported by Variety, and confirmed by IndieWire) and the results shook up the Oscar race: Christopher Nolan’s “Opp… [+3656 chars]	Tristan	Napoleon	Awards	Michael	Napoleon	Awards					Napoleon	Awards
/FILM	Martin Scorsese's Killers Of The Flower Moon Cameo Was A Perfect Accident	Martin Scorsese has a show stopping cameo in his new film Killers of the Flower Moon, but it almost didn&amp;#39;t happen.	https://www.slashfilm.com/1449930/martin-scorsese-killers-of-the-flower-moon-cameo-perfect-accident/	2023-11-25T21:45:14Z	The final on-stage, radio broadcast sequence confronts a tragic meta-truth about any and all biographies, especially those that ended badly for the subjects: by turning a story into a movie, an artis… [+1625 chars]	Tristan	KOTFM	Prod	Michael	KOTFM	Prod					KOTFM	Prod
/FILM	How To Watch Martin Scorsese's Killers Of The Flower Moon At Home	Martin Scorsese fans can experience one of the most devastating and powerful movies of 2023 all over again when Killers of the Flower Moon hits the home market.	https://www.slashfilm.com/1461620/how-watch-martin-scorsese-killers-of-the-flower-moon-at-home/	2023-12-04T15:12:42Z	Can you find the wolves in this picture? You'll be able to do exactly that without ever having to step outside the house when "Killers of the Flower Moon," director Martin Scorsese's latest crime epi… [+1249 chars]	Tristan	KOTFM	Streaming	Michael	KOTFM	Streaming					KOTFM	Streaming
Deadline	‘The Hunger Games’ Star Rachel Zegler Recalls Meeting Jennifer Lawrence Jokingly Wanting To Strangle Her For Photo	Rachel Zegler stars in The Hunger Games: The Ballad of Songbirds & Snakes and recently recalled an encounter she had with OG star Jennifer Lawrence. While making an appearance on The Kelly Clarkson Show, Zegler opened up about meeting Lawrence during the Chri…	https://deadline.com/2023/11/the-hunger-games-rachel-zegler-meeting-jennifer-lawrence-1235618635/	2023-11-18T23:40:12Z	Rachel Zegler stars in The Hunger Games: The Ballad of Songbirds &amp; Snakes and recently recalled an encounter she had with OG star Jennifer Lawrence. While making an appearance on The Kelly Clark… [+1555 chars]	Tristan	HG	NR	Michael	HG	Promo			HG	Promo	HG	Promo
Deadline	‘Hunger Games: Ballad Of Songbirds & Snakes’: Spotify A Key Partner In Country Music Infused Prequel	EXCLUSIVE: Music has continually been a facet of Lionsgate’s $3 billion Hunger Games franchise going back to ditties from Taylor Swift, Coldplay and Lorde, and with today’s theatrical release of Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes, …	https://deadline.com/2023/11/hunger-games-songbirds-and-snakes-spotify-lionsgate-1235616087/	2023-11-17T17:00:00Z	EXCLUSIVE: Music has continually been a facet of Lionsgate‘s $3 billion Hunger Games franchise going back to ditties from Taylor Swift, Coldplay and Lorde, and with today’s theatrical release of Lion… [+2458 chars]	Tristan	HG	Prod	Michael	HG	Prod					HG	Prod
Biztoc.com	Box Office: ‘Hunger Games’ Prequel Opening to $45M-$50M, ‘The Marvels’ Suffers Historic Drop	Tom Blyth and Rachel Zegler in 'The Hunger Games: The Ballad of Songbirds and Snakes.' Lionsgate’s prequel The Hunger Games: The Ballad of Songbirds & Snakes is headed for a $45 million-plus opening at the domestic box office after earning $19.1 million on Fr…	https://biztoc.com/x/dbe2b4b0d256259f	2023-11-18T16:22:21Z	Tom Blyth and Rachel Zegler in 'The Hunger Games: The Ballad of Songbirds and Snakes.'Lionsgates prequel The Hunger Games: The Ballad of Songbirds &amp; Snakes is headed for a $45 million-plus openin… [+322 chars]	Tristan	HG, Marvels	Box	Michael	HG, Marvels	Box					HG, Marvels	Box
Deadline	Apple’s ‘Napoleon’ Sets Thanksgiving Global Box Office Battle Plan Via Sony With $46M WW Start – Preview	EXCLUSIVE: Getting a leg-up here on our Thanksgiving stretch preview, Apple Studios production of Ridley Scott’s Napoleon will invade the global box office via Sony this Wednesday, in what’s shaping up to be a $46M WW global start. Split up for the Wednesday-…	https://deadline.com/2023/11/napoleon-global-box-office-opening-projection-1235617741/	2023-11-18T01:53:37Z	EXCLUSIVE: Getting a leg-up here on our Thanksgiving stretch preview, Apple Studios production of Ridley Scott’s Napoleonwill invade the global box office via Sony this Wednesday, in what’s shaping u… [+2635 chars]	Tristan	Napoleon	Box	Michael	Napoleon	Box					Napoleon	Box
ComingSoon.net	Box Office Results: Beyonce and Godzilla Lead Quiet December Weekend	The first week of December resulted in a relatively quiet box office, albeit with a few pleasant surprises. Among them is Renaissance: A Film by Beyonce, which took the top domestic spot with $22 million, per Deadline. Sure, this latest concert venture is far…	https://www.comingsoon.net/movies/news/1423776-box-office-results-beyonce-and-godzilla-lead-quiet-december-weekend	2023-12-03T22:04:11Z	The first week of December resulted in a relatively quiet box office, albeit with a few pleasant surprises. Among them is Renaissance: A Film by Beyonce, which took the top domestic spot with $22 mil… [+2738 chars]	Tristan	Renaissance, Godzilla	Box	Michael	Renaissance	Box	Minus one not mentioned		Renaissance, Godzilla	Box	Renaissance, Godzilla	Box
Deadline	‘Songbirds & Snakes’ Director Francis Lawrence On Finding Tom Blyth; Lead Star Chats Coriolanus Snow’s Next Steps & Lucy Gray Baird’s Whereabouts – Crew Call Podcast	Warning: This podcast contains spoilers about the ending of Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes “In 2015, we thought she was done.” That’s what filmmaker Francis Lawrence thought about the finale of the $3 billion-plus grossing The …	https://deadline.com/2023/11/hunger-games-songbirds-and-snakes-tom-blyth-francis-lawrence-interview-1235629994/	2023-11-20T19:54:17Z	Warning: This podcast contains spoilers about the ending of Lionsgate’s The Hunger Games: The Ballad of Songbirds &amp; Snakes “In 2015, we thought she was done.”  That’s what filmmaker Francis Law… [+3046 chars]	Tristan	HG	Plot	Michael	HG	Promo			HG	Promo	HG	Promo
The A.V. Club	Marvel's The Marvels opens at the top of the weekend box office, and let’s leave it at that	It looks like Marvel Studios’ domination of the U.S. box office continues, with The Marvels—the latest entry in the MCU—opening in the number one spot. Of course… it did also manage to have the worst opening weekend in the history of the franchise, as predict…	https://www.avclub.com/the-marvels-opens-at-the-top-of-the-weekend-box-office-1851015677	2023-11-12T22:04:00Z	It looks like Marvel Studios domination of the U.S. box office continues, with The Marvelsthe latest entry in the MCUopening in the number one spot. Of course it did also manage to have the worst ope… [+1527 chars]	Tristan	Marvels	Box	Michael	Marvels	Box					Marvels	Box
IndieWire	Leonardo DiCaprio Calls Martin Scorsese a ‘National Treasure’ and His ‘Cinematic Father Figure’	"He's still continuing to make daring, independent films even though they're massive in budget," DiCaprio said of his longtime collaborator behind "Killers of the Flower Moon."	https://www.indiewire.com/news/general-news/leonardo-dicaprio-martin-scorsese-my-cinematic-father-figure-1234927500/	2023-11-17T14:48:54Z	Leonardo DiCaprio is opening up about how he found a “cinematic father figure” in Martin Scorsese.  The longtime collaborators most recently reunited for 1920s period piece “Killers of the Flower Mo… [+2000 chars]	Tristan	KOTFM	NR	Michael	KOTFM	Promo			KOTFM	Promo	KOTFM	Promo
IndieWire	Robert De Niro Blasts Apple and Gothams for Editing His Anti-Trump Speech on Teleprompter	The "Killers of the Flower Moon" actor called out former president Donald Trump and the "lies" in media, saying, "History isn’t history any more."	https://www.indiewire.com/news/general-news/robert-de-niro-slams-gotham-awards-editing-anti-trump-speech-1234929989/	2023-11-28T03:01:56Z	Robert De Niro went off-book in what quickly became an intense introduction to “Killers of the Flower Moon” at the Gotham Awards.  The actor appeared to suffer some technical difficulties as he read… [+1527 chars]	Tristan	KOTFM	NR	Michael	KOTFM	NR					KOTFM	NR
ComingSoon.net	The Ballad of Songbirds & Snakes: Is Jennifer Lawrence’s Katniss in The Hunger Games Prequel?	Fans want to know whether or not Jennifer Lawrence’s Katniss Everdeen is in The Hunger Games: The Ballad of Songbirds & Snakes. Here is all you need to know. However, beware of spoilers. Is Katniss Everdeen in The Hunger Games: The Ballad of Songbirds & Snake…	https://www.comingsoon.net/guides/news/1406461-hunger-games-ballad-of-songbirds-and-snakes-katniss-everdeen-jennifer-lawrence	2023-11-17T11:30:00Z	Fans want to know whether or not Jennifer Lawrences Katniss Everdeen is in The Hunger Games: The Ballad of Songbirds &amp; Snakes. Here is all you need to know. However, beware of spoilers. No, Katn… [+1631 chars]	Tristan	HG	Plot	Michael	HG	Plot					HG	Plot
IndieWire	‘The Marvels’ Will Become the First MCU Title to Fall Short of $100 Million Domestic	In happier box-office news, "The Hunger Games: Ballad of Songbirds and Snakes" opened well while "Saltburn" and "Fallen Leaves" had strong limited debuts.	https://www.indiewire.com/news/box-office/the-marvels-first-mcu-title-fall-short-100-million-1234927842/	2023-11-19T19:05:09Z	Franchise entries “Hunger Games: The Ballad of Songbirds and Snakes” (Lionsgate) and “Trolls Band Together” (Universal) opened to respectable levels, if below their precedents, to take #1 and #2 in t… [+7211 chars]	Tristan	Marvels, HG, Trolls	Box	Michael	Marvels, HG, Trolls	Box					Marvels, HG, Trolls	Box
IndieWire	‘Killers of the Flower Moon’ Star Lily Gladstone Always Wants to Answer the Tough Questions	The star of Martin Scorsese's "Killers of the Flower Moon," who is set to receive the Performance Award at IndieWire Honors, walks us through her layered, complex turn as Mollie Burkhart.	https://www.indiewire.com/features/interviews/lily-gladstone-interview-indiewire-honors-1234931798/	2023-12-05T14:30:00Z	On December 6, the 2023 IndieWire Honors ceremony will celebrate 11 filmmakers, creators, and actors for their achievements in creative independence. We’re showcasing their work with new interviews l… [+21040 chars]	Tristan	KOTFM	NR	Michael	KOTFM	Awards			KOTFM	Awards	KOTFM	Awards
IndieWire	2023 National Board of Review Winners List: ‘Killers of the Flower Moon’ Leads Top Honors	"Maestro" director-actor Bradley Cooper is also recognized with the NBR Icon Award.	https://www.indiewire.com/awards/results/2023-national-board-of-review-winners-list-1234932607/	2023-12-06T19:45:01Z	The National Board of Review has unveiled its 2023 winners list, with Martin Scorsese’s “Killers of the Flower Moon” leading the top awards.  Actress Lily Gladstone and director Scorsese were both r… [+4085 chars]	Tristan	KOTFM	Awards	Michael	KOTFM	Awards					KOTFM	Awards
/FILM	Five Nights At Freddy's Reignited A Dying Part Of Matthew Lillard's Career	Matthew Lillard has been working steadily since Scream and Scooby-Doo, but Five Nights at Freddy&amp;#39;s brought him back to the big screen.	https://www.slashfilm.com/1451807/five-nights-at-freddys-reignite-matthew-lillard-franchise-career/	2023-11-26T13:45:52Z	Although it's true that Lillard hasn't been in any big movies lately prior to "Five Nights at Freddy's," he has given quite a few memorable performances on TV over the years. He appeared in a guest r… [+1184 chars]	Tristan	FNAF	NR	Michael	FNAF	NR	I'm not sure if this fits perfectly into NR				FNAF	NR
Time	Breaking Down the Ending of The Marvels	The end of the Marvels suggests that big things are coming to the Marvel Cinematic Universe. Here's what happened and what it all means.	https://time.com/6333664/the-marvels-ending-explained/	2023-11-10T14:00:00Z	In The Marvels, directed by Nia DaCosta, Captain Marvel (Brie Larson), Monica Rambeau (Teyonah Parris), and Ms. Marvel (Iman Vellani) team up to take down Dar-Benn, a Kree revolutionary who is travel… [+3097 chars]	Tristan	Marvels	Plot	Michael	Marvels	Plot					Marvels	Plot
/FILM	Godzilla Minus One Ending Explained: Long Live The King	Does the ending of Godzilla Minus One set up the possibility for even more films in this story&amp;#39;s timeline? Here&amp;#39;s our explanation.	https://www.slashfilm.com/1458678/godzilla-minus-one-ending-explained-long-live-the-king/	2023-11-30T22:00:00Z	"Godzilla Minus One" follows Koichi Shikishima, a former kamikaze pilot who had a brief encounter with Godzilla in the final days of WWII as he faked engine issues to avoid dying in combat. As he ret… [+1517 chars]	Tristan	Godzilla	Plot	Michael	Godzilla	Plot					Godzilla	Plot
Business Insider	Napoleon's long and costly invasion of Russia was one of the deadliest military operations in history	In what would be the beginning of the end of his empire, Napoleon Bonaparte invaded Russia with the largest army Europe had ever seen.	https://www.businessinsider.com/napoleon-invasion-russia-moscow-1812-2023-11	2023-11-26T13:09:01Z	An etching of Napoleon Bonaparte and his army retreating from Russia after a failed invasion.Hulton Archive/Getty Images <ul><li>When Russia began illegally trading with England, Napoleon prepared t… [+10381 chars]	Tristan	NR		Michael	NR						NR	
Business Insider	Bob Iger says Disney made too many sequels but he won't apologize for making them	Referring to "The Marvels," Disney CEO Bob Iger said the movie's poor performance was down to a lack of supervision from executives.	https://www.businessinsider.com/bob-iger-disney-sequels-too-many-wont-apologize-dealbook-summit-2023-11	2023-11-30T04:02:17Z	Disney CEO Bob Iger (left) and Brie Larson, leading actress of Disney's recent film release, "The Marvels."Slaven Vlasic/Getty Images and Disney <ul><li>Quantity has diluted quality at Disney, CEO B… [+2261 chars]	Tristan	Marvels	Prod	Michael	Marvels	Box	?? looks at performance		Marvels	Box	Marvels	Box
/FILM	Can Apple's Napoleon Bring Ridley Scott And Joaquin Phoenix Box Office Glory?	Can Ridley Scott&amp;#39;s Napoleon conquer the box office when it opens over the Thanksgiving holiday? Or will it suffer an epic defeat?	https://www.slashfilm.com/1449948/can-napoleon-bring-ridley-scott-and-joaquin-phoenix-box-office-glory/	2023-11-19T15:00:14Z	Apple is, first and foremost, a tech company that is worth billions and billions. Apple TV+ is a small part of the company's overall equation. Similar to Amazon with Prime Video, the company doesn't … [+1734 chars]	Tristan	Napoleon	Box	Michael	Napoleon	Box					Napoleon	Box
